Date,Positivity_Rate
12/8/2022,52.40456123
12/9/2020,33.14176245
12/9/2021,21.52229014
12/9/2022,67.0599276
2/1/2021,62.64040318
2/1/2022,260.1282051
2/1/2023,45.99133972
2/10/2020,
2/10/2021,25.27426482
2/10/2022,130.2404425
2/10/2023,70.28691603
2/11/2020,
2/11/2021,18.67842818
2/11/2022,135.4317921
2/11/2023,92.14433702
2/12/2020,
2/12/2021,20.15093853
2/12/2022,147.2583619
2/12/2023,130.006683
2/13/2020,
2/13/2021,21.00578625
2/13/2022,193.1133019
2/13/2023,163.832021
2/14/2020,
2/14/2021,24.73665838
2/14/2022,262.6982534
2/14/2023,141.8711019
2/15/2020,
2/15/2021,38.95569099
2/15/2022,192.9943677
2/15/2023,46.29524887
2/16/2020,
2/16/2021,42.9698204
2/16/2022,120.7822975
2/16/2023,57.73562537
2/17/2020,
2/17/2021,32.33069429
2/17/2022,124.8402123
2/17/2023,67.81643671
2/18/2020,
2/18/2021,19.05457135
2/18/2022,126.2135376
2/18/2023,83.68575146
2/19/2020,
2/19/2021,16.13840788
2/19/2022,155.3830958
2/19/2023,116.2389653
2/2/2021,61.12006164
2/2/2022,149.8340548
2/2/2023,62.81016442
2/20/2020,
2/20/2021,18.24841767
2/20/2022,127.160936
2/20/2023,170.6081081
2/21/2020,
2/21/2021,21.52642285
2/21/2022,232.0484088
2/21/2023,177.3829201
2/22/2020,
2/22/2021,33.16432949
2/22/2022,130.0618288
2/22/2023,50.87523277
2/23/2020,
2/23/2021,39.63201047
2/23/2022,119.1052766
2/23/2023,46.63094441
2/24/2020,
2/24/2021,18.32203019
2/24/2022,86.01333395
2/24/2023,58.91238671
2/25/2020,
2/25/2021,15.17836958
2/25/2022,85.42923434
2/25/2023,84.28417653
2/26/2020,
2/26/2021,16.07206982
2/26/2022,115.630451
2/26/2023,116.2559349
2/27/2020,
2/27/2021,17.63666352
2/27/2022,119.6773358
2/27/2023,151.2848551
2/28/2020,
2/28/2021,21.33170682
2/28/2022,150.0330142
2/28/2023,118.3649521
2/29/2020,
2/3/2021,32.0710443
2/3/2022,139.1780437
2/3/2023,75.87536634
2/4/2021,25.3307894
2/4/2022,151.3695358
2/4/2023,96.92013224
2/5/2021,25.07096157
2/5/2022,162.1343277
2/5/2023,127.0479782
2/6/2020,
2/6/2021,24.49270945
2/6/2022,199.4857731
2/6/2023,160.9671848
2/7/2020,
2/7/2021,28.64803128
2/7/2022,259.5885093
2/7/2023,133.5021572
2/8/2020,
2/8/2021,50.63420839
2/8/2022,203.1796301
2/8/2023,46.1010514
2/9/2020,
2/9/2021,45.28865511
2/9/2022,131.7646032
2/9/2023,56.25356125
3/1/2020,
3/1/2021,30.18706269
3/1/2022,133.3766333
3/1/2023,45.93542106
3/10/2020,
3/10/2021,20.88865907
3/10/2022,108.5403198
3/10/2023,67.78093883
3/11/2020,
3/11/2021,18.61297613
3/11/2022,109.5875369
3/11/2023,79.33052863
3/12/2020,
3/12/2021,17.81739951
3/12/2022,124.8827374
3/12/2023,118.2317682
3/13/2020,
3/13/2021,20.2255652
3/13/2022,136.668351
3/13/2023,150.5854098
3/14/2020,
3/14/2021,26.00487211
3/14/2022,211.6457369
3/14/2023,127.6128127
3/15/2020,
3/15/2021,36.87417219
3/15/2022,159.5999175
3/15/2023,41.22663168
3/16/2020,
3/16/2021,43.84070672
3/16/2022,98.15947013
3/16/2023,50.83590326
3/17/2020,
3/17/2021,25.46816479
3/17/2022,105.1133261
3/17/2023,58.63614535
3/18/2020,
3/18/2021,21.8818306
3/18/2022,112.649669
3/18/2023,82.813749
3/19/2020,
3/19/2021,23.60957708
3/19/2022,134.2528736
3/19/2023,104.5953361
3/2/2020,
3/2/2021,34.27698508
3/2/2022,93.82115618
3/2/2023,51.31755248
3/20/2020,
3/20/2021,26.5153697
3/20/2022,150.5334184
3/20/2023,153.3123028
3/21/2020,
3/21/2021,28.90337782
3/21/2022,189.7848218
3/21/2023,116.9613621
3/22/2020,
3/22/2021,47.44765029
3/22/2022,156.072079
3/22/2023,48.9373707
3/23/2020,
3/23/2021,46.12667404
3/23/2022,89.06771774
3/23/2023,48.57670411
3/24/2020,
3/24/2021,28.95769986
3/24/2022,108.4821141
3/24/2023,65.85100598
3/25/2020,
3/25/2021,26.76731528
3/25/2022,100.555115
3/25/2023,84.09653465
3/26/2020,
3/26/2021,30.99595778
3/26/2022,107.12185
3/26/2023,106.6008191
3/27/2020,
3/27/2021,28.71731825
3/27/2022,119.1895929
3/27/2023,131.3950238
3/28/2020,
3/28/2021,36.64363788
3/28/2022,311.3246836
3/28/2023,114.4662604
3/29/2020,
3/29/2021,48.04915125
3/29/2022,157.3240124
3/29/2023,44.96396849
3/3/2020,
3/3/2021,19.76127573
3/3/2022,101.9270143
3/3/2023,62.9034749
3/30/2020,
3/30/2021,54.91946439
3/30/2022,114.0216073
3/30/2023,55.87923729
3/31/2020,
3/31/2021,38.36709054
3/31/2022,113.2656404
3/31/2023,76.48337318
3/4/2020,
3/4/2021,15.70464482
3/4/2022,106.1475667
3/4/2023,73.99455216
3/5/2020,
3/5/2021,16.02829431
3/5/2022,118.290802
3/5/2023,118.7946641
3/6/2020,
3/6/2021,17.65550156
3/6/2022,140.2260913
3/6/2023,144.9001914
3/7/2020,
3/7/2021,22.30069119
3/7/2022,176.7651106
3/7/2023,119.2157668
3/8/2020,
3/8/2021,28.94149174
3/8/2022,145.911215
3/8/2023,39.55880161
3/9/2020,
3/9/2021,33.73917749
3/9/2022,92.23151784
3/9/2023,49.98413202
4/1/2020,
4/1/2021,33.51260234
4/1/2022,126.3796657
4/1/2023,72.53313697
4/10/2020,
4/10/2021,50.45492277
4/10/2022,185.4186489
4/11/2020,
4/11/2021,58.2088758
4/11/2022,260.9515186
4/12/2020,
4/12/2021,72.51976882
4/12/2022,223.6268772
4/13/2020,
4/13/2021,84.99537553
4/13/2022,136.3282242
4/14/2020,
4/14/2021,67.89765915
4/14/2022,145.066389
4/15/2020,69.21797005
4/15/2021,58.48319834
4/15/2022,168.5753238
4/16/2020,48.2613043
4/16/2021,62.16876089
4/16/2022,186.7856032
4/17/2020,50.46634453
4/17/2021,71.57883628
4/17/2022,341.2592096
4/18/2020,48.83745508
4/18/2021,77.3356144
4/18/2022,352.8827038
4/19/2020,49.94296381
4/19/2021,99.9766753
4/19/2022,221.5963973
4/2/2020,
4/2/2021,35.31997497
4/2/2022,146.159615
4/2/2023,122.0231214
4/20/2020,58.16081437
4/20/2021,105.7764312
4/20/2022,141.3498272
4/21/2020,56.88102894
4/21/2021,82.72837674
4/21/2022,153.9443378
4/22/2020,51.78071615
4/22/2021,77.35501235
4/22/2022,158.9110812
4/23/2020,53.7105933
4/23/2021,74.2536384
