Date,Total_CompletedTests
8/20/2020,25917
8/20/2021,28635
8/20/2022,10024
8/21/2020,28073
8/21/2021,26096
8/21/2022,7624
8/22/2020,28656
8/22/2021,23075
8/22/2022,5889
8/23/2020,23384
8/23/2021,19866
8/23/2022,8143
8/24/2020,18790
8/24/2021,17369
8/24/2022,11176
8/25/2020,20013
8/25/2021,26406
8/25/2022,13677
8/26/2020,21960
8/26/2021,27815
8/26/2022,10157
8/27/2020,28625
8/27/2021,30063
8/27/2022,9345
8/28/2020,31823
8/28/2021,28528
8/28/2022,7754
8/29/2020,32106
8/29/2021,22890
8/29/2022,5498
8/3/2020,23021
8/3/2021,11515
8/3/2022,8681
8/30/2020,24970
8/30/2021,18561
8/30/2022,7626
8/31/2020,25098
8/31/2021,19643
8/31/2022,10283
8/4/2020,19169
8/4/2021,17115
8/4/2022,14144
8/5/2020,17229
8/5/2021,23494
8/5/2022,13048
8/6/2020,26181
8/6/2021,23448
8/6/2022,10757
8/7/2020,25136
8/7/2021,20858
8/7/2022,9594
8/8/2020,26008
8/8/2021,14963
8/8/2022,5938
8/9/2020,27771
8/9/2021,15805
8/9/2022,9616
9/1/2020,23545
9/1/2021,27572
9/1/2022,10141
9/10/2020,24669
9/10/2021,28247
9/10/2022,9059
9/11/2020,32501
9/11/2021,26268
9/11/2022,7266
9/12/2020,35618
9/12/2021,23625
9/12/2022,5143
9/13/2020,31143
9/13/2021,19125
9/13/2022,8365
9/14/2020,29540
9/14/2021,21133
9/14/2022,9991
9/15/2020,27664
9/15/2021,33220
9/15/2022,9984
9/16/2020,28761
9/16/2021,34365
9/16/2022,10355
9/17/2020,35134
9/17/2021,33763
9/17/2022,10111
9/18/2020,35826
9/18/2021,30716
9/18/2022,6758
9/19/2020,38940
9/19/2021,29906
9/19/2022,5007
9/2/2020,24004
9/2/2021,27293
9/2/2022,10354
9/20/2020,40127
9/20/2021,23864
9/20/2022,7703
9/21/2020,31753
9/21/2021,23631
9/21/2022,11096
9/22/2020,34201
9/22/2021,39092
9/22/2022,10286
9/23/2020,35436
9/23/2021,37630
9/23/2022,9603
9/24/2020,30634
9/24/2021,36855
9/24/2022,9070
9/25/2020,41865
9/25/2021,33303
9/25/2022,7546
9/26/2020,43238
9/26/2021,31063
9/26/2022,5094
9/27/2020,42509
9/27/2021,22633
9/27/2022,7188
9/28/2020,41111
9/28/2021,23785
9/28/2022,10413
9/29/2020,38375
9/29/2021,36404
9/29/2022,10527
9/3/2020,26298
9/3/2021,28786
9/3/2022,9004
9/30/2020,35753
9/30/2021,38788
9/30/2022,9586
9/4/2020,28591
9/4/2021,26259
9/4/2022,7396
9/5/2020,28672
9/5/2021,22410
9/5/2022,5362
9/6/2020,28955
9/6/2021,19200
9/6/2022,6279
9/7/2020,23725
9/7/2021,17118
9/7/2022,7974
9/8/2020,20929
9/8/2021,21840
9/8/2022,10243
9/9/2020,17605
9/9/2021,29684
9/9/2022,11068
